herramienta,endpoint,concurrency,vcpu,memory,volumen,latency,capacidad_procesamiento
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.244138908958435,3.907879030615343
apirest,heavy,1.0,0.5,0.25,95.3712558746338,25.954577447509774,3.674544733679887
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.2320894371032715,4.1107658098694575
apirest,heavy,1.0,0.5,0.25,95.3712558746338,24.56367686996461,3.882613192622218
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1959410215377808,4.869145395835432
apirest,heavy,1.0,0.5,0.25,95.3712558746338,22.47732600364685,4.242998293442922
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1838915496826172,5.188195567021
apirest,heavy,1.0,0.5,0.25,95.3712558746338,24.447768488502508,3.9010209017434767
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0582223907470703,2.9208557381357565
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.001000026435852,0.0267021749646281
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1477431341171264,6.457594991315273
apirest,heavy,1.0,0.5,0.25,95.3712558746338,21.318242189025884,4.473692297375655
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.001000026435852,0.0267021749646281
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1959410215377808,4.869145395835432
apirest,heavy,1.0,0.5,0.25,95.3712558746338,23.98413496265412,3.976430920820664
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.1029706512451172,1.6515308201435368
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1959410215377808,4.869145395835432
apirest,heavy,1.0,0.5,0.25,95.3712558746338,20.9705170446396,4.547873362951356
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0582223907470703,2.9208557381357565
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.2079904933929443,4.587062164776524
apirest,heavy,1.0,0.5,0.25,95.3712558746338,24.215951725578314,3.9383649651852033
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0917835861206054,1.8528280631582787
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.001000026435852,0.0267021749646281
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1838915496826172,5.188195567021
apirest,heavy,1.0,0.5,0.25,95.3712558746338,21.43415057048798,4.449500135822856
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0582223907470703,2.9208557381357565
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1838915496826172,5.188195567021
apirest,heavy,1.0,0.5,0.25,95.3712558746338,24.100043344116216,3.957306404509756
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0582223907470703,2.9208557381357565
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1718420778274536,5.551988982779597
apirest,heavy,1.0,0.5,0.25,95.3712558746338,25.954577447509774,3.674544733679887
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1718420778274536,5.551988982779597
apirest,heavy,1.0,0.5,0.25,95.3712558746338,24.100043344116216,3.957306404509756
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.15979260597229,5.970647496927504
apirest,heavy,1.0,0.5,0.25,95.3712558746338,25.25912715873719,3.775714626847059
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0582223907470703,2.9208557381357565
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.2561883808135986,3.72407725848484
apirest,heavy,1.0,0.5,0.25,95.3712558746338,23.98413496265412,3.976430920820664
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.001000026435852,0.0267021749646281
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1718420778274536,5.551988982779597
apirest,heavy,1.0,0.5,0.25,95.3712558746338,22.47732600364685,4.242998293442922
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.2200399652481079,4.335872902907488
apirest,heavy,1.0,0.5,0.25,95.3712558746338,23.63640981826783,4.034929864895319
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0805965209960937,2.1100067595945573
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1838915496826172,5.188195567021
apirest,heavy,1.0,0.5,0.25,95.3712558746338,24.215951725578314,3.9383649651852033
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1959410215377808,4.869145395835432
apirest,heavy,1.0,0.5,0.25,95.3712558746338,23.63640981826783,4.034929864895319
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.001000026435852,0.0267021749646281
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1838915496826172,5.188195567021
apirest,heavy,1.0,0.5,0.25,95.3712558746338,23.63640981826783,4.034929864895319
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.0582223907470703,2.9208557381357565
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.1718420778274536,5.551988982779597
apirest,heavy,1.0,0.5,0.25,95.3712558746338,23.752318199729924,4.015239905118745
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0021000293731689,0.0127154796978293
apirest,large,1.0,0.5,0.25,0.9540653228759766,0.3043862682342529,3.13439015633168
apirest,heavy,1.0,0.5,0.25,95.3712558746338,23.98413496265412,3.976430920820664
apirest,file,1.0,0.5,0.25,0.1700592041015625,0.069409455871582,2.45008697973656
apirest,simple,1.0,0.5,0.25,2.6702880859375e-05,0.001000026435852,0.0267021749646281
grpc,simple,1.0,0.5,0.25,2.6702880859375e-05,0.1080002937316894,0.0002472482243957
grpc,large,1.0,0.5,0.25,0.9540653228759766,0.2828056983947754,3.3735717784023342
grpc,heavy,1.0,0.5,0.25,95.3712558746338,164.51758730411532,0.5797024952617217
grpc,stream,1.0,0.5,0.25,0.0001373291015625,10.05813815307617,1.365353104843757e-05
grpc,file,1.0,0.5,0.25,0.1700592041015625,0.089530532836914,1.8994548419737085
grpc,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0480001335144043,0.0005563084705037
grpc,large,1.0,0.5,0.25,0.9540653228759766,0.26089756774902345,3.6568578661253066
grpc,heavy,1.0,0.5,0.25,95.3712558746338,92.0748488903046,1.0358013835923474
grpc,stream,1.0,0.5,0.25,0.0001373291015625,10.05813815307617,1.365353104843757e-05
grpc,file,1.0,0.5,0.25,0.1700592041015625,0.0691904144287109,2.4578434094621566
grpc,simple,1.0,0.5,0.25,2.6702880859375e-05,0.0480001335144043,0.0005563084705037
grpc,large,1.0,0.5,0.25,0.9540653228759766,0.23898943710327145,3.992081551552877
